period,start,end,n_months,correlation,corr_p_value,granger_p,granger_sig
Pre-COVID,2015-08-01,2019-12-31,53,0.22720377276801126,0.10181812273938395,0.23195572056208422,No
COVID Era,2020-03-01,2021-12-31,22,0.508240392310423,0.015731457900747925,0.267980133060973,No
Post-COVID,2022-01-01,2024-07-31,31,-0.16060993588076744,0.38807517011679815,0.05559671815256786,No
