Rank,model,rmse,mae
1,AR(1),2.817010455716585,2.050097006806774
2,VAR (No Fashion),3.0628735215816696,2.1845261977768606
3,VAR (Fashion),4.155950498390858,2.723157825669629
4,Naive,7.402076785655547,6.6185185185185205
