designer,year,season,show_date,vibrancy_score_mean,vibrancy_score_std,vibrancy_score_min,vibrancy_score_max,darkness_score_mean,darkness_score_std,brightness_score_mean,brightness_score_std,color_diversity_mean,color_diversity_std,weighted_vibrancy_mean,n_looks
alexander_mcqueen,2015,Fall,2015-02-28,0.04916482049639023,0.04440998634634108,0.0111991295655517,0.2238392741253363,-103.16666666666667,13.343762587816077,104.16666666666667,13.343762587816077,47.077777777777776,22.74571370749865,0.04916482049639023,36
alexander_mcqueen,2015,Spring,2014-09-30,0.07536724336793538,0.017618049496750596,0.0450234094579008,0.1052684967320261,-124.22222222222223,9.588691596664676,125.22222222222223,9.588691596664676,76.6888888888889,14.791765948299789,0.07536724336793538,18
alexander_mcqueen,2016,Fall,2016-02-29,0.108699650610571,0.05126869782335587,0.0382944836601307,0.290475354094579,-143.33333333333334,20.63885356367363,144.33333333333334,20.63885356367363,64.87142857142857,11.174607227544756,0.108699650610571,42
alexander_mcqueen,2016,Spring,2015-09-30,0.07388683400838672,0.02254209567454078,0.0466605136485966,0.1413833141099577,-119.26511627906976,9.18536319423281,120.26511627906976,9.18536319423281,77.0139534883721,13.06120357240059,0.07388683400838672,43
alexander_mcqueen,2017,Fall,2017-02-28,0.10201124988716709,0.07877769934903436,0.0257481091887735,0.4428700099961553,-140.97391304347826,17.493801248602423,141.97391304347826,17.493801248602423,59.76521739130435,29.26499021311835,0.10201124988716709,46
alexander_mcqueen,2017,Spring,2016-09-30,0.07984885163825874,0.05281104305698934,0.0213404429065743,0.2772576793540945,-123.74222222222221,16.94287848369135,124.74222222222221,16.94287848369135,49.47555555555556,19.714106112070613,0.07984885163825874,45
alexander_mcqueen,2018,Fall,2018-02-28,0.07014645153961759,0.047156644450037755,0.0139071649365628,0.2146862991157247,-107.77727272727272,15.162390184596115,108.77727272727272,15.162390184596115,70.42727272727274,27.30062069007635,0.07014645153961759,44
alexander_mcqueen,2018,Spring,2017-09-30,0.18055646221175156,0.09342952196851328,0.0306899530949634,0.3934170811226451,-128.2595744680851,12.287208965538602,129.2595744680851,12.287208965538602,101.0340425531915,33.11585247998926,0.18055646221175156,47
alexander_mcqueen,2019,Fall,2019-02-28,0.1019463592025045,0.09890623569095862,0.0281724782775855,0.4333450749711649,-120.21904761904761,16.386598303152997,121.21904761904761,16.386598303152997,64.11904761904762,30.325005685119915,0.1019463592025045,42
alexander_mcqueen,2020,Fall,2020-02-29,0.12113567675893883,0.104161959874065,0.0165601307189542,0.4184047504805843,-139.30833333333334,21.1456935239762,140.30833333333334,21.1456935239762,64.67083333333333,32.952073245938166,0.12113567675893883,48
alexander_mcqueen,2020,Spring,2019-09-30,0.06489541657502028,0.03713465414717243,0.0206476970396001,0.2157908665897731,-139.69302325581396,18.147299357635468,140.69302325581396,18.147299357635468,41.86511627906977,15.26513119312442,0.06489541657502028,43
alexander_mcqueen,2021,Fall,2021-02-28,0.1137403931180315,0.06687226257385734,0.0444706343713956,0.2538108850442138,-114.575,15.894967757123638,115.575,15.894967757123638,101.7625,43.36691327114102,0.1137403931180315,16
alexander_mcqueen,2022,Fall,2022-02-28,0.14802147661781112,0.14812024642011654,0.0197500991926182,0.5394479876970396,-115.01463414634148,24.43449980023747,116.01463414634148,24.43449980023747,86.33170731707317,45.45535413471327,0.14802147661781112,41
alexander_mcqueen,2022,Spring,2021-09-30,0.07266797065231316,0.07191478143733256,0.0276797293348712,0.403162740484429,-127.58333333333333,15.44822689779362,128.58333333333334,15.448226897793624,45.03333333333333,23.97839503743795,0.07266797065231316,36
alexander_mcqueen,2023,Fall,2023-02-28,0.07291451218062979,0.07453679491621332,0.0168392525951557,0.4408872495194155,-110.06909090909092,18.593715313466785,111.06909090909092,18.593715313466785,73.42545454545454,34.69859757109317,0.07291451218062979,55
alexander_mcqueen,2023,Spring,2022-09-30,0.10117559471497825,0.11357423193584772,0.0257652472126105,0.4393348358323722,-118.66829268292682,15.14295940403312,119.66829268292682,15.142959404033117,66.4,33.93042882133971,0.10117559471497825,41
alexander_mcqueen,2024,Fall,2024-02-29,0.09132829068645583,0.08341767860890828,0.0140643137254901,0.3881369273356401,-112.91698113207548,16.039587274675892,113.91698113207548,16.039587274675892,73.66037735849056,32.02202571081494,0.09132829068645583,53
alexander_mcqueen,2024,Spring,2023-09-30,0.08159511582501709,0.07333018870602112,0.0213431172625913,0.2899645090349865,-111.00434782608696,15.30591688816582,112.00434782608696,15.30591688816582,73.08695652173913,29.96402738615201,0.08159511582501709,46
balenciaga,2015,Fall,2015-02-28,0.040669598387314605,0.025066159723726736,0.0138440922722029,0.1440940069204152,-109.6108108108108,8.752262684706285,110.6108108108108,8.752262684706285,50.28108108108108,21.845795906736807,0.040669598387314605,37
balenciaga,2015,Spring,2014-09-30,0.0617778454892914,0.030011542477085786,0.0225037201076509,0.1469246459054209,-118.86470588235295,17.81567036395022,119.86470588235295,17.81567036395022,65.56470588235294,17.08165562823998,0.0617778454892914,34
balenciaga,2016,Fall,2016-02-29,0.11826819146482119,0.08740466243010174,0.0108976055363321,0.2957043398692811,-128.61818181818182,13.729331573479666,129.61818181818182,13.729331573479662,66.00909090909092,32.03698312148675,0.11826819146482119,44
balenciaga,2016,Spring,2015-09-30,0.08030948737664997,0.012718762574985384,0.0591161061130334,0.1024632879661668,-116.93333333333334,6.443778838095368,117.93333333333334,6.443778838095368,72.57777777777778,7.561976729896231,0.08030948737664997,36
